time,heart_rate
0,77
1,78
2,78
3,79
4,76
5,75
6,75
7,75
8,76
9,76
10,76
11,78
12,79
13,78
14,78
15,82
16,84
17,88
18,93
19,95
20,93
21,92
22,92
23,92
24,92
25,92
26,91
27,89
28,85
29,84
30,83
31,82
32,79
33,78
34,78
35,78
36,82
37,88
38,89
39,93
40,94
41,95
42,94
43,93
44,93
45,93
46,93
47,93
48,94
49,95
50,94
51,94
52,95
53,95
54,96
55,97
56,98
57,98
58,99
59,99
60,95
61,93
62,94
63,95
64,95
65,95
66,95
67,95
68,95
69,95
70,94
71,94
72,91
73,90
74,87
75,86
76,85
77,86
78,88
79,89
80,89
81,88
82,87
83,85
84,86
85,90
86,90
87,91
88,91
89,91
90,91
91,91
92,91
93,95
94,95
95,95
96,95
97,95
98,97
99,99
100,99
101,95
102,95
103,97
104,97
105,97
106,98
107,98
108,95
109,94
110,93
111,93
112,93
113,93
114,93
115,93
116,93
117,92
118,95
119,98
120,98
121,97
122,94
123,91
124,90
125,92
126,93
127,94
128,95
129,96
130,97
131,98
132,98
133,98
134,97
135,97
136,97
137,98
138,98
139,98
140,99
141,98
142,98
143,98
144,98
145,98
146,99
147,99
148,99
149,101
150,102
151,101
152,101
153,101
154,102
155,103
156,103
157,104
158,105
159,106
160,106
161,106
162,107
163,110
164,109
165,109
166,109
167,109
168,110
169,110
170,110
171,110
172,110
173,111
174,111
175,111
176,111
177,110
178,110
179,110
180,110
181,110
182,109
183,108
184,106
185,106
186,104
187,104
188,104
189,104
190,104
191,106
192,106
193,106
194,107
195,109
196,108
197,107
198,106
199,110
200,112
201,113
202,112
203,111
204,111
205,111
206,109
207,109
208,108
209,108
210,108
211,108
212,108
213,108
214,108
215,108
216,106
217,105
218,105
219,105
220,105
221,105
222,104
223,104
224,104
225,107
226,111
227,111
228,111
229,111
230,112
231,112
232,112
233,112
234,112
235,112
236,112
237,112
238,112
239,112
240,113
241,113
242,113
243,113
244,113
245,113
246,113
247,113
248,113
249,113
250,114
251,114
252,114
253,114
254,116
255,117
256,117
257,117
258,117
259,117
260,117
261,117
262,119
263,120
264,122
265,124
266,125
267,126
268,126
269,125
270,125
271,124
272,124
273,125
274,124
275,124
276,124
277,124
278,124
279,124
280,124
281,124
282,124
283,124
284,123
285,123
286,123
287,124
288,124
289,124
290,124
291,124
292,124
293,124
294,124
295,124
296,125
297,125
298,124
299,124
300,124
301,125
302,125
303,125
304,126
305,126
306,126
307,126
308,126
309,126
310,126
311,126
312,126
313,126
314,126
315,126
316,127
317,127
318,127
319,127
320,126
321,126
322,126
323,126
324,126
325,126
326,126
327,126
328,126
329,126
330,126
331,126
332,126
333,126
334,126
335,126
336,126
337,126
338,126
339,126
340,126
341,127
342,127
343,127
344,128
345,129
346,129
347,129
348,129
349,128
350,130
351,131
352,132
353,132
354,132
355,134
356,134
357,132
358,133
359,133
360,134
361,135
362,136
363,135
364,135
365,134
366,135
367,136
368,136
369,136
370,137
371,138
372,138
373,137
374,137
375,137
376,137
377,137
378,137
379,137
380,137
381,137
382,137
383,136
384,137
385,137
386,136
387,136
388,137
389,137
390,137
391,137
392,136
393,136
394,136
395,136
396,137
397,138
398,138
399,138
400,138
401,138
402,138
403,138
404,138
405,137
406,137
407,137
408,138
409,138
410,138
411,138
412,138
413,138
414,139
415,138
416,138
417,138
418,138
419,138
420,138
421,138
422,138
423,137
424,137
425,138
426,138
427,139
428,140
429,140
430,139
431,139
432,139
433,138
434,138
435,138
436,138
437,138
438,138
439,138
440,138
441,138
442,138
443,139
444,139
445,139
446,139
447,139
448,139
449,139
450,139
451,139
452,139
453,139
454,139
455,139
456,139
457,139
458,139
459,139
460,139
461,140
462,140
463,140
464,140
465,140
466,140
467,140
468,140
469,141
470,141
471,141
472,141
473,141
474,142
475,144
476,144
477,143
478,145
479,144
480,144
481,144
482,144
483,145
484,143
485,145
486,145
487,144
488,144
489,145
490,145
491,145
492,148
493,149
494,149
495,148
496,147
497,147
498,145
499,143
500,142
501,142
502,141
503,140
504,139
505,141
506,140
507,140
508,139
509,139
510,140
511,139
512,139
513,139
514,139
515,139
516,139
517,138
518,139
519,138
520,140
521,140
522,139
523,138
524,139
525,139
526,139
527,140
528,140
529,140
530,139
531,139
532,140
533,141
534,140
535,140
536,141
537,140
538,140
539,140
540,141
541,140
542,138
543,139
544,139
545,138
546,139
547,139
548,140
549,139
550,139
551,139
552,140
553,140
554,141
555,141
556,141
557,142
558,143
559,143
560,144
561,143
562,145
563,145
564,145
565,146
566,146
567,145
568,146
569,146
570,146
571,146
572,147
573,147
574,147
575,147
576,148
577,148
578,149
579,150
580,150
581,150
582,150
583,151
584,151
585,150
586,150
587,149
588,150
589,150
590,150
591,149
592,149
593,150
594,150
595,150
596,149
597,150
598,150
599,150
600,150
601,150
602,151
603,152
604,151
605,152
606,151
607,152
608,152
609,153
610,154
611,153
612,154
613,154
614,155
615,156
616,156
617,157
618,157
619,157
620,158
621,158
622,159
623,159
624,159
625,159
626,159
627,160
628,160
629,160
630,160
631,160
632,161
633,161
634,161
635,161
636,161
637,160
638,160
639,160
640,161
641,161
642,161
643,161
644,161
645,161
646,162
647,162
648,161
649,161
650,163
651,162
652,162
653,162
654,162
655,163
656,162
657,163
658,162
659,162
660,162
661,162
662,162
663,161
664,161
665,161
666,161
667,161
668,160
669,161
670,162
671,161
672,160
673,160
674,160
675,160
676,160
677,160
678,160
679,160
680,160
681,159
682,159
683,159
684,159
685,159
686,159
687,160
688,161
689,161
690,161
691,162
692,162
693,163
694,163
695,164
696,164
697,164
698,164
699,164
700,164
701,164
702,164
703,163
704,164
705,164
706,164
707,163
708,164
709,162
710,162
711,162
712,163
713,162
714,162
715,162
716,162
717,163
718,162
719,162
720,162
721,162
722,160
723,160
724,161
725,161
726,160
727,160
728,160
729,160
730,160
731,160
732,160
733,160
734,161
735,160
736,161
737,161
738,161
739,162
740,162
741,162
742,161
743,162
744,161
745,161
746,162
747,161
748,161
749,161
750,162
751,161
752,162
753,161
754,160
755,160
756,159
757,159
758,159
759,158
760,158
761,157
762,157
763,157
764,156
765,155
766,154
767,153
768,152
769,152
770,151
771,150
772,150
773,150
774,150
775,150
776,149
777,149
778,149
779,149
780,149
781,148
782,148
783,148
784,148
785,148
786,148
787,149
788,149
789,149
790,149
791,150
792,150
793,150
794,152
795,152
796,152
797,151
798,151
799,151
800,150
801,150
802,151
803,150
804,150
805,149
806,150
807,150
808,148
809,147
810,148
811,148
812,148
813,149
814,149
815,149
816,149
817,149
818,149
819,149
820,149
821,149
822,150
823,149
824,150
825,150
826,151
827,151
828,152
829,153
830,152
831,152
832,153
833,153
834,153
835,154
836,154
837,155
838,156
839,156
840,156
841,156
842,156
843,156
844,156
845,156
846,156
847,157
848,157
849,156
850,158
851,158
852,158
853,159
854,159
855,159
856,159
857,159
858,160
859,161
860,161
861,161
862,161
863,162
864,162
865,162
866,162
867,162
868,162
869,163
870,163
871,163
872,163
873,163
874,161
875,162
876,163
877,162
878,163
879,163
880,163
881,163
882,164
883,164
884,164
885,164
886,165
887,165
888,165
889,165
890,165
891,164
892,166
893,165
894,165
895,165
896,166
897,165
898,165
899,165
900,165
901,165
902,163
903,163
904,165
905,164
906,163
907,164
908,164
909,163
910,163
911,163
912,162
913,163
914,162
915,163
916,163
917,163
918,163
919,162
920,162
921,162
922,162
923,162
924,163
925,163
926,163
927,162
928,163
929,162
930,163
931,162
932,162
933,163
934,163
935,163
936,164
937,164
938,164
939,165
940,166
941,165
942,165
943,166
944,166
945,166
946,165
947,166
948,166
949,166
950,167
951,166
952,167
953,166
954,166
955,166
956,166
957,165
958,165
959,165
960,165
961,165
962,164
963,164
964,163
965,163
966,162
967,162
968,162
969,161
970,161
971,161
972,161
973,160
974,160
975,160
976,160
977,160
978,159
979,159
980,159
981,159
982,160
983,160
984,159
985,159
986,159
987,159
988,158
989,159
990,159
991,159
992,159
993,159
994,158
995,159
996,159
997,159
998,159
999,160
1000,160
1001,162
1002,161
1003,162
1004,161
1005,161
1006,161
1007,162
1008,162
1009,161
1010,160
1011,160
1012,161
1013,160
1014,160
1015,160
1016,159
1017,158
1018,158
1019,157
1020,157
1021,157
1022,157
1023,156
1024,156
1025,156
1026,156
1027,157
1028,157
1029,156
1030,157
1031,156
1032,156
1033,156
1034,155
1035,155
1036,156
1037,156
1038,155
1039,155
1040,154
1041,154
1042,154
1043,153
1044,153
1045,153
1046,153
1047,153
1048,153
1049,152
1050,152
1051,152
1052,152
1053,153
1054,154
1055,154
1056,155
1057,154
1058,154
1059,153
1060,153
1061,153
1062,153
1063,152
1064,152
1065,152
1066,152
1067,151
1068,151
1069,150
1070,150
1071,149
1072,148
1073,147
1074,147
1075,146
1076,146
1077,145
1078,145
1079,144
1080,144
1081,143
1082,142
1083,141
1084,141
1085,141
1086,142
1087,142
1088,141
1089,140
1090,140
1091,140
1092,140
1093,140
1094,139
1095,139
1096,139
1097,139
1098,139
1099,139
1100,139
1101,140
1102,140
1103,140
1104,140
1105,140
1106,140
1107,140
1108,140
1109,141
1110,141
1111,142
1112,142
1113,142
1114,142
1115,142
1116,142
1117,142
1118,142
1119,143
1120,143
1121,143
1122,143
1123,143
1124,143
1125,144
1126,145
1127,145
1128,145
1129,145
1130,146
1131,146
1132,146
1133,146
1134,146
1135,146
1136,146
1137,147
1138,147
1139,149
1140,148
1141,148
1142,148
1143,149
1144,149
1145,149
1146,149
1147,149
1148,148
1149,149
1150,149
1151,148
1152,147
1153,148
1154,147
1155,147
1156,147
1157,147
1158,147
1159,147
1160,147
1161,147
1162,147
1163,148
1164,146
1165,146
1166,146
1167,147
1168,147
1169,147
1170,148
1171,148
1172,147
1173,147
1174,148
1175,148
1176,148
1177,147
1178,148
1179,148
1180,147
1181,147
1182,147
1183,147
1184,147
1185,146
1186,147
1187,148
1188,148
1189,148
1190,148
1191,148
1192,148
1193,148
1194,148
1195,148
1196,148
1197,147
1198,147
1199,147
1200,148
1201,148
1202,148
1203,148
1204,149
1205,148
1206,149
1207,149
1208,148
1209,149
1210,149
1211,149
1212,149
1213,149
1214,150
1215,151
1216,151
1217,151
1218,153
1219,153
